"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A01|||NR17F49C2aP006","plate6_A01","A01","A","01","NRCRI-2017-umuseedlingF1C2aP481","NR17F49C2aP006","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A02|||NR17F50C2aP005","plate6_A02","A02","A","02","NRCRI-2017-umuseedlingF1C2aP489","NR17F50C2aP005","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A03|||NR17F54C2aP006","plate6_A03","A03","A","03","NRCRI-2017-umuseedlingF1C2aP497","NR17F54C2aP006","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A04|||NR17F54C2aP014","plate6_A04","A04","A","04","NRCRI-2017-umuseedlingF1C2aP505","NR17F54C2aP014","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A05|||NR17F59C2aP002","plate6_A05","A05","A","05","NRCRI-2017-umuseedlingF1C2aP513","NR17F59C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A06|||NR17F60C2aP005","plate6_A06","A06","A","06","NRCRI-2017-umuseedlingF1C2aP521","NR17F60C2aP005","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A07|||NR17F60C2aP013","plate6_A07","A07","A","07","NRCRI-2017-umuseedlingF1C2aP529","NR17F60C2aP013","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A08|||NR17F60C2aP021","plate6_A08","A08","A","08","NRCRI-2017-umuseedlingF1C2aP537","NR17F60C2aP021","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A09|||NR17F61C2aP004","plate6_A09","A09","A","09","NRCRI-2017-umuseedlingF1C2aP545","NR17F61C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A10|||NR17F61C2aP012","plate6_A10","A10","A","10","NRCRI-2017-umuseedlingF1C2aP553","NR17F61C2aP012","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A11|||NR17F62C2aP001","plate6_A11","A11","A","11","NRCRI-2017-umuseedlingF1C2aP560","NR17F62C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_A12|||NR17F62C2aP009","plate6_A12","A12","A","12","NRCRI-2017-umuseedlingF1C2aP568","NR17F62C2aP009","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B01|||NR17F49C2aP007","plate6_B01","B01","B","01","NRCRI-2017-umuseedlingF1C2aP482","NR17F49C2aP007","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B02|||NR17F52C2aP001","plate6_B02","B02","B","02","NRCRI-2017-umuseedlingF1C2aP490","NR17F52C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B03|||NR17F54C2aP007","plate6_B03","B03","B","03","NRCRI-2017-umuseedlingF1C2aP498","NR17F54C2aP007","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B04|||NR17F54C2aP015","plate6_B04","B04","B","04","NRCRI-2017-umuseedlingF1C2aP506","NR17F54C2aP015","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B05|||NR17F59C2aP003","plate6_B05","B05","B","05","NRCRI-2017-umuseedlingF1C2aP514","NR17F59C2aP003","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B06|||NR17F60C2aP006","plate6_B06","B06","B","06","NRCRI-2017-umuseedlingF1C2aP522","NR17F60C2aP006","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B07|||NR17F60C2aP014","plate6_B07","B07","B","07","NRCRI-2017-umuseedlingF1C2aP530","NR17F60C2aP014","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B08|||NR17F60C2aP022","plate6_B08","B08","B","08","NRCRI-2017-umuseedlingF1C2aP538","NR17F60C2aP022","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B09|||NR17F61C2aP005","plate6_B09","B09","B","09","NRCRI-2017-umuseedlingF1C2aP546","NR17F61C2aP005","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B10|||NR17F61C2aP013","plate6_B10","B10","B","10","NRCRI-2017-umuseedlingF1C2aP554","NR17F61C2aP013","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B11|||NR17F62C2aP002","plate6_B11","B11","B","11","NRCRI-2017-umuseedlingF1C2aP561","NR17F62C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_B12|||NR17F62C2aP010","plate6_B12","B12","B","12","NRCRI-2017-umuseedlingF1C2aP569","NR17F62C2aP010","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C01|||NR17F49C2aP008","plate6_C01","C01","C","01","NRCRI-2017-umuseedlingF1C2aP483","NR17F49C2aP008","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C02|||NR17F53C2aP001","plate6_C02","C02","C","02","NRCRI-2017-umuseedlingF1C2aP491","NR17F53C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C03|||NR17F54C2aP008","plate6_C03","C03","C","03","NRCRI-2017-umuseedlingF1C2aP499","NR17F54C2aP008","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C04|||NR17F55C2aP001","plate6_C04","C04","C","04","NRCRI-2017-umuseedlingF1C2aP507","NR17F55C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C05|||NR17F59C2aP004","plate6_C05","C05","C","05","NRCRI-2017-umuseedlingF1C2aP515","NR17F59C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C06|||NR17F60C2aP007","plate6_C06","C06","C","06","NRCRI-2017-umuseedlingF1C2aP523","NR17F60C2aP007","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C07|||NR17F60C2aP015","plate6_C07","C07","C","07","NRCRI-2017-umuseedlingF1C2aP531","NR17F60C2aP015","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C08|||NR17F60C2aP023","plate6_C08","C08","C","08","NRCRI-2017-umuseedlingF1C2aP539","NR17F60C2aP023","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C09|||NR17F61C2aP006","plate6_C09","C09","C","09","NRCRI-2017-umuseedlingF1C2aP547","NR17F61C2aP006","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C10|||NR17F61C2aP014","plate6_C10","C10","C","10","NRCRI-2017-umuseedlingF1C2aP555","NR17F61C2aP014","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C11|||NR17F62C2aP003","plate6_C11","C11","C","11","NRCRI-2017-umuseedlingF1C2aP562","NR17F62C2aP003","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_C12|||NR17F62C2aP011","plate6_C12","C12","C","12","NRCRI-2017-umuseedlingF1C2aP570","NR17F62C2aP011","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D01|||NR17F49C2aP009","plate6_D01","D01","D","01","NRCRI-2017-umuseedlingF1C2aP484","NR17F49C2aP009","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D02|||NR17F54C2aP001","plate6_D02","D02","D","02","NRCRI-2017-umuseedlingF1C2aP492","NR17F54C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D03|||NR17F54C2aP009","plate6_D03","D03","D","03","NRCRI-2017-umuseedlingF1C2aP500","NR17F54C2aP009","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D04|||NR17F56C2aP001","plate6_D04","D04","D","04","NRCRI-2017-umuseedlingF1C2aP508","NR17F56C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D05|||NR17F59C2aP005","plate6_D05","D05","D","05","NRCRI-2017-umuseedlingF1C2aP516","NR17F59C2aP005","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D06|||NR17F60C2aP008","plate6_D06","D06","D","06","NRCRI-2017-umuseedlingF1C2aP524","NR17F60C2aP008","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D07|||NR17F60C2aP016","plate6_D07","D07","D","07","NRCRI-2017-umuseedlingF1C2aP532","NR17F60C2aP016","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D08|||NR17F60C2aP024","plate6_D08","D08","D","08","NRCRI-2017-umuseedlingF1C2aP540","NR17F60C2aP024","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D09|||NR17F61C2aP007","plate6_D09","D09","D","09","NRCRI-2017-umuseedlingF1C2aP548","NR17F61C2aP007","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D10|||BLANK","plate6_D10","D10","D","10","BLANK","BLANK","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","1"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D11|||NR17F62C2aP004","plate6_D11","D11","D","11","NRCRI-2017-umuseedlingF1C2aP563","NR17F62C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_D12|||NR17F62C2aP012","plate6_D12","D12","D","12","NRCRI-2017-umuseedlingF1C2aP571","NR17F62C2aP012","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_E01|||NR17F50C2aP001","plate6_E01","E01","E","01","NRCRI-2017-umuseedlingF1C2aP485","NR17F50C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0006c","6/6/2018","plate6_E02|||NR17F54C2aP002","plate6_E02","E02","E","02","NRCRI-2017-umuseedlingF1C2aP493","NR17F54C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
