"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A01|||NR19C3aF171P0004","NR-NG-C3-Cass-0004_A01","A01","A","01","NR19C3aF171P0004","NR19C3aF171P0004","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A02|||NR19C3aF178P0001","NR-NG-C3-Cass-0004_A02","A02","A","02","NR19C3aF178P0001","NR19C3aF178P0001","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A03|||NR19C3aF185P0003","NR-NG-C3-Cass-0004_A03","A03","A","03","NR19C3aF185P0003","NR19C3aF185P0003","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A04|||NR19C3aF192P0001","NR-NG-C3-Cass-0004_A04","A04","A","04","NR19C3aF192P0001","NR19C3aF192P0001","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A05|||NR19C3aF196P0006","NR-NG-C3-Cass-0004_A05","A05","A","05","NR19C3aF196P0006","NR19C3aF196P0006","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A06|||NR19C3aF196P0014","NR-NG-C3-Cass-0004_A06","A06","A","06","NR19C3aF196P0014","NR19C3aF196P0014","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A07|||NR19C3aF204P0001","NR-NG-C3-Cass-0004_A07","A07","A","07","NR19C3aF204P0001","NR19C3aF204P0001","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A08|||NR19C3aF204P0009","NR-NG-C3-Cass-0004_A08","A08","A","08","NR19C3aF204P0009","NR19C3aF204P0009","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A09|||NR19C3aF208P0001","NR-NG-C3-Cass-0004_A09","A09","A","09","NR19C3aF208P0001","NR19C3aF208P0001","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0004","2020-06-29","NR-NG-C3-Cass-0004_A10|||NR19C3aF219P0001","NR-NG-C3-Cass-0004_A10","A10","A","10","NR19C3aF219P0001","NR19C3aF219P0001","","PRINCESS","NR-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
