"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A01|||NR20C3F16P0038","NR20-NG-C3-Cass-0004_A01","A01","A","01","NR20C3F16P0038","NR20C3F16P0038","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A02|||NR20C3F16P0048","NR20-NG-C3-Cass-0004_A02","A02","A","02","NR20C3F16P0048","NR20C3F16P0048","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A03|||NR20C3F17P0008","NR20-NG-C3-Cass-0004_A03","A03","A","03","NR20C3F17P0008","NR20C3F17P0008","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A04|||NR20C3F18P0001","NR20-NG-C3-Cass-0004_A04","A04","A","04","NR20C3F18P0001","NR20C3F18P0001","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A05|||NR20C3F18P0009","NR20-NG-C3-Cass-0004_A05","A05","A","05","NR20C3F18P0009","NR20C3F18P0009","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A06|||NR20C3F19P0004","NR20-NG-C3-Cass-0004_A06","A06","A","06","NR20C3F19P0004","NR20C3F19P0004","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A07|||NR20C3F20P0009","NR20-NG-C3-Cass-0004_A07","A07","A","07","NR20C3F20P0009","NR20C3F20P0009","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A08|||NR20C3F23P0001","NR20-NG-C3-Cass-0004_A08","A08","A","08","NR20C3F23P0001","NR20C3F23P0001","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A09|||NR20C3F24P0004","NR20-NG-C3-Cass-0004_A09","A09","A","09","NR20C3F24P0004","NR20C3F24P0004","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A10|||NR20C3F25P0006","NR20-NG-C3-Cass-0004_A10","A10","A","10","NR20C3F25P0006","NR20C3F25P0006","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A11|||NR20C3F26P0005","NR20-NG-C3-Cass-0004_A11","A11","A","11","NR20C3F26P0005","NR20C3F26P0005","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_A12|||NR20C3F29P0004","NR20-NG-C3-Cass-0004_A12","A12","A","12","NR20C3F29P0004","NR20C3F29P0004","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_B01|||NR20C3F16P0039","NR20-NG-C3-Cass-0004_B01","B01","B","01","NR20C3F16P0039","NR20C3F16P0039","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_B02|||NR20C3F16P0049","NR20-NG-C3-Cass-0004_B02","B02","B","02","NR20C3F16P0049","NR20C3F16P0049","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_B03|||NR20C3F17P0009","NR20-NG-C3-Cass-0004_B03","B03","B","03","NR20C3F17P0009","NR20C3F17P0009","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_B04|||NR20C3F18P0002","NR20-NG-C3-Cass-0004_B04","B04","B","04","NR20C3F18P0002","NR20C3F18P0002","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0004","2020-12-10","NR20-NG-C3-Cass-0004_B05|||NR20C3F18P0010","NR20-NG-C3-Cass-0004_B05","B05","B","05","NR20C3F18P0010","NR20C3F18P0010","","PRINCESS","NR20-NG-C3-Cass-0004","leaf","NA","NA","NA","0"
