"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A01|||NR21C4aF23P0002","NR21-NG-C4a-Cass-0004_A01","A01","A","01","SeedNursumuNR21C4aF23P0002-318-1","NR21C4aF23P0002","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A02|||NR21C4aF24P0006","NR21-NG-C4a-Cass-0004_A02","A02","A","02","SeedNursumuNR21C4aF24P0006-326-1","NR21C4aF24P0006","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A03|||NR21C4aF24P0014","NR21-NG-C4a-Cass-0004_A03","A03","A","03","SeedNursumuNR21C4aF24P0014-334-1","NR21C4aF24P0014","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A04|||NR21C4aF25P0003","NR21-NG-C4a-Cass-0004_A04","A04","A","04","SeedNursumuNR21C4aF25P0003-345-1","NR21C4aF25P0003","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A05|||NR21C4aF27P0004","NR21-NG-C4a-Cass-0004_A05","A05","A","05","SeedNursumuNR21C4aF27P0004-353-1","NR21C4aF27P0004","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A06|||NR21C4aF28P0003","NR21-NG-C4a-Cass-0004_A06","A06","A","06","SeedNursumuNR21C4aF28P0003-362-1","NR21C4aF28P0003","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A07|||NR21C4aF30P0005","NR21-NG-C4a-Cass-0004_A07","A07","A","07","SeedNursumuNR21C4aF30P0005-377-1","NR21C4aF30P0005","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A08|||NR21C4aF30P0015","NR21-NG-C4a-Cass-0004_A08","A08","A","08","SeedNursumuNR21C4aF30P0015-387-1","NR21C4aF30P0015","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A09|||NR21C4aF32P0005","NR21-NG-C4a-Cass-0004_A09","A09","A","09","SeedNursumuNR21C4aF32P0005-398-1","NR21C4aF32P0005","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A10|||NR21C4aF34P0002","NR21-NG-C4a-Cass-0004_A10","A10","A","10","SeedNursumuNR21C4aF34P0002-413-1","NR21C4aF34P0002","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0004","1/27/2022","NR21-NG-C4a-Cass-0004_A11|||NR21C4aF35P0002","NR21-NG-C4a-Cass-0004_A11","A11","A","11","SeedNursumuNR21C4aF35P0002-423-1","NR21C4aF35P0002","","PRINCESS","NR21-NG-C4-Cass-0004","leaf","NA","NA","NA","0"
