trial_name,acquisition_date,exported_tissue_sample_name,tissue_sample_name,well_A01,row_number,col_number,source_observation_unit_name,accession_name,synonyms,dna_person,notes,tissue_type,extraction,concentration,volume,is_blank
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A01|||NR17F9C2aP007,plate3_A01,A01,A,1,NRCRI-2017-umuseedlingF1C2aP191,NR17F9C2aP007,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A02|||NR17F9C2aP015,plate3_A02,A02,A,2,NRCRI-2017-umuseedlingF1C2aP199,NR17F9C2aP015,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A03|||NR17F10C2aP007,plate3_A03,A03,A,3,NRCRI-2017-umuseedlingF1C2aP207,NR17F10C2aP007,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A04|||NR17F10C2aP015,plate3_A04,A04,A,4,NRCRI-2017-umuseedlingF1C2aP215,NR17F10C2aP015,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A05|||NR17F10C2aP023,plate3_A05,A05,A,5,NRCRI-2017-umuseedlingF1C2aP223,NR17F10C2aP023,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A06|||NR17F10C2aP031,plate3_A06,A06,A,6,NRCRI-2017-umuseedlingF1C2aP231,NR17F10C2aP031,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A07|||NR17F10C2aP039,plate3_A07,A07,A,7,NRCRI-2017-umuseedlingF1C2aP239,NR17F10C2aP039,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A08|||NR17F13C2aP002,plate3_A08,A08,A,8,NRCRI-2017-umuseedlingF1C2aP246,NR17F13C2aP002,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A09|||NR17F13C2aP010,plate3_A09,A09,A,9,NRCRI-2017-umuseedlingF1C2aP254,NR17F13C2aP010,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
NR_NG_C2a_Cass_0003c,6/2/2018,plate3_A10|||NR17F14C2aP003,plate3_A10,A10,A,10,NRCRI-2017-umuseedlingF1C2aP262,NR17F14C2aP003,NA,PRINCESS,C2a seedlings,Leaf,CTAB,NA,NA,0
