"GID","germplasmName","FullSampleName"
"COB1111","COB1111",NA
"COB1115","COB1115",NA
"COB1118","COB1118",NA
"COB11","COB11",NA
"COB1126","COB1126",NA
"COB113","COB113",NA
"COB1133","COB1133",NA
"COB1138","COB1138",NA
"COB1142","COB1142",NA
"COB1148","COB1148",NA
"COB1153","COB1153",NA
"COB1161","COB1161",NA
"COB126","COB126",NA
"COB13","COB13",NA
"COB132","COB132",NA
"COB14","COB14",NA
"COB142","COB142",NA
"COB150","COB150",NA
"COB153","COB153",NA
"COB154","COB154",NA
"COB155","COB155",NA
"COB157","COB157",NA
"COB162","COB162",NA
"COB173","COB173",NA
"COB187","COB187",NA
"COB189","COB189",NA
"COB191","COB191",NA
"COB19","COB19",NA
"COB193","COB193",NA
"COB196","COB196",NA
"COB199","COB199",NA
"COB21","COB21",NA
"COB213","COB213",NA
"COB228","COB228",NA
"COB235","COB235",NA
"COB236","COB236",NA
"COB248","COB248",NA
"COB250","COB250",NA
"COB260","COB260",NA
"COB262","COB262",NA
"COB264","COB264",NA
"COB277","COB277",NA
"COB283","COB283",NA
"COB29","COB29",NA
"COB294","COB294",NA
"COB3101","COB3101",NA
"COB3106","COB3106",NA
"COB312","COB312",NA
"COB317","COB317",NA
"COB323","COB323",NA
"COB325","COB325",NA
"COB331","COB331",NA
"COB333","COB333",NA
"COB336","COB336",NA
"COB339","COB339",NA
"COB340","COB340",NA
"COB346","COB346",NA
"COB347","COB347",NA
"COB352","COB352",NA
"COB353","COB353",NA
"COB361","COB361",NA
"COB368","COB368",NA
"COB370","COB370",NA
"COB373","COB373",NA
"COB374","COB374",NA
"COB380","COB380",NA
"COB386","COB386",NA
"COB387","COB387",NA
"COB389","COB389",NA
"COB390","COB390",NA
"COB395","COB395",NA
"COB396","COB396",NA
"COB4101","COB4101",NA
"COB4103","COB4103",NA
"COB4105","COB4105",NA
"COB4108","COB4108",NA
"COB4110","COB4110",NA
"COB4111","COB4111",NA
"COB4112","COB4112",NA
"COB41","COB41",NA
"COB4120","COB4120",NA
"COB412","COB412",NA
"COB413","COB413",NA
"COB414","COB414",NA
"COB415","COB415",NA
"COB416","COB416",NA
"COB417","COB417",NA
"COB418","COB418",NA
"COB421","COB421",NA
"COB422","COB422",NA
"COB424","COB424",NA
"COB426","COB426",NA
"COB428","COB428",NA
"COB430","COB430",NA
"COB43","COB43",NA
"COB434","COB434",NA
"COB436","COB436",NA
"COB437","COB437",NA
"COB440","COB440",NA
"COB442","COB442",NA
"COB443","COB443",NA
"COB446","COB446",NA
"COB447","COB447",NA
"COB450","COB450",NA
"COB451","COB451",NA
"COB45","COB45",NA
"COB454","COB454",NA
"COB455","COB455",NA
"COB457","COB457",NA
"COB461","COB461",NA
"COB46","COB46",NA
"COB462","COB462",NA
"COB463","COB463",NA
"COB464","COB464",NA
"COB465","COB465",NA
"COB468","COB468",NA
"COB469","COB469",NA
"COB471","COB471",NA
"COB472","COB472",NA
"COB473","COB473",NA
"COB476","COB476",NA
"COB478","COB478",NA
"COB48","COB48",NA
"COB484","COB484",NA
"COB485","COB485",NA
"COB486","COB486",NA
"COB487","COB487",NA
"COB488","COB488",NA
"COB490","COB490",NA
"COB49","COB49",NA
"COB492","COB492",NA
"COB495","COB495",NA
"COB497","COB497",NA
"COB499","COB499",NA
"COB5100","COB5100",NA
"COB5101","COB5101",NA
"COB5108","COB5108",NA
"COB5110","COB5110",NA
"COB5111","COB5111",NA
"COB5113","COB5113",NA
"COB5114","COB5114",NA
"COB5115","COB5115",NA
"COB5120","COB5120",NA
"COB5124","COB5124",NA
"COB514","COB514",NA
"COB516","COB516",NA
"COB518","COB518",NA
"COB520","COB520",NA
"COB52","COB52",NA
"COB523","COB523",NA
"COB525","COB525",NA
"COB526","COB526",NA
"COB527","COB527",NA
"COB529","COB529",NA
"COB531","COB531",NA
"COB53","COB53",NA
"COB533","COB533",NA
"COB534","COB534",NA
"COB537","COB537",NA
"COB538","COB538",NA
"COB540","COB540",NA
"COB546","COB546",NA
"COB547","COB547",NA
"COB549","COB549",NA
"COB551","COB551",NA
"COB555","COB555",NA
"COB56","COB56",NA
"COB562","COB562",NA
"COB566","COB566",NA
"COB567","COB567",NA
"COB569","COB569",NA
"COB571","COB571",NA
"COB57","COB57",NA
"COB572","COB572",NA
"COB575","COB575",NA
"COB576","COB576",NA
"COB580","COB580",NA
"COB581","COB581",NA
"COB58","COB58",NA
"COB582","COB582",NA
"COB583","COB583",NA
"COB584","COB584",NA
"COB589","COB589",NA
"COB590","COB590",NA
"COB591","COB591",NA
"COB592","COB592",NA
"COB593","COB593",NA
"COB596","COB596",NA
"COB599","COB599",NA
"COB616","COB616",NA
"COB620","COB620",NA
"COB62","COB62",NA
"COB623","COB623",NA
"COB630","COB630",NA
"COB63","COB63",NA
"COB632","COB632",NA
"COB634","COB634",NA
"COB639","COB639",NA
"COB643","COB643",NA
"COB644","COB644",NA
"COB648","COB648",NA
"COB651","COB651",NA
"COB654","COB654",NA
"COB664","COB664",NA
"COB673","COB673",NA
"COB710","COB710",NA
"COB7111","COB7111",NA
"COB7139","COB7139",NA
"COB7148","COB7148",NA
"COB7149","COB7149",NA
"COB7177","COB7177",NA
"COB7210","COB7210",NA
"COB72","COB72",NA
"COB730","COB730",NA
"COB737","COB737",NA
"COB740","COB740",NA
"COB742","COB742",NA
"COB753","COB753",NA
"COB755","COB755",NA
"COB761","COB761",NA
"COB774","COB774",NA
"COB796","COB796",NA
"COB8107","COB8107",NA
"COB8116","COB8116",NA
"COB8118","COB8118",NA
"COB815","COB815",NA
"COB817","COB817",NA
"COB822","COB822",NA
"COB823","COB823",NA
"COB824","COB824",NA
"COB841","COB841",NA
"COB846","COB846",NA
"COB849","COB849",NA
"COB86","COB86",NA
"COB869","COB869",NA
