"programName","locationName","studyYear","studyName","studyDesign","TrialType","MaxNOHAV","MaxNoHAV"
"NRCRI","Umudike",2006,"06cetEarlyBulkingUM","RCBD","CET",NA,5
"NRCRI","Umudike",2007,"07pytEarlyBulkingUM","RCBD","PYT",NA,10
"NRCRI","Igbariam",2009,"09pytIgariam","RCBD","PYT",35,10
"NRCRI","Otobi",2009,"09pytOtobi","RCBD","PYT",24,10
"NRCRI","Umudike",2009,"09pytUmudike","RCBD","PYT",24,10
"NRCRI","Kano",2010,"10uytCIATsetAUM","Alpha","UYT",38,36
"NRCRI","Kano",2010,"10uytCIATsetBKA","Alpha","UYT",NA,36
"NRCRI","Umudike",2010,"10cetNR10BseriesUM","RCBD","CET",24,5
"NRCRI","Umudike",2010,"10cetNR10seriesUM","Alpha","CET",8,5
"NRCRI","Umudike",2010,"10uytUM","RCBD","UYT",24,36
"NRCRI","Umudike",2010,"PYT 2010","RCBD","PYT",20,10
"NRCRI","Umudike",2011,"11UMUyellowRTuyt","RCBD","UYT",NA,36
"NRCRI","Umudike",2011,"11aytNR09seriesUM","RCBD","AYT",24,20
"NRCRI","Umudike",2011,"11cetNR11seriesUM","RCBD","CET",24,5
"NRCRI","Umudike",2011,"11clonal63cpUM","RCBD","CET",20,5
"NRCRI","Umudike",2011,"11uyt10RepeatUM","RCBD","UYT",24,36
"NRCRI","Kano",2012,"12CETearlyBulkingDrtkano","Alpha","CET",9,5
"NRCRI","Otobi",2012,"12PYT36genpyramOtobi","Alpha","PYT",16,10
"NRCRI","Umudike",2012,"12CET500TP1umu","Alpha","CET",3,5
"NRCRI","Umudike",2012,"12PYT75genpyramUM","Alpha","PYT",20,10
"NRCRI","Kano",2013,"13TP1CET518kano","Alpha","CET",18,5
"NRCRI","Kano",2013,"Kano2013TP1SET1CGM","RCBD","TP1",NA,NA
"NRCRI","Kano",2013,"Kano2013TP1set2CGM","RCBD","TP1",NA,NA
"NRCRI","Otobi",2013,"13AYT12yrtOtobi","Alpha","AYT",NA,20
